A=5307 B=3452 C=7342 X=402770303 Y=7229364850 Z=97035273079 M=7931
A=8969 B=6824 C=8962 X=116240344 Y=2974752036 Z=99829664523 M=9294
A=4075 B=3843 C=6030 X=171669955 Y=9512421222 Z=19248609958 M=5493
A=4622 B=7227 C=6814 X=496666393 Y=2918472788 Z=92309743108 M=1110
A=3841 B=9279 C=8561 X=689702357 Y=9453225439 Z=27366993563 M=2829
A=7828 B=4281 C=9415 X=788173214 Y=5299885786 Z=82989209273 M=5460
A=4689 B=9083 C=5776 X=476538289 Y=4459181261 Z=75478395732 M=9868
A=7252 B=9562 C=8520 X=643112563 Y=6523331140 Z=97262676201 M=4540
A=5241 B=4659 C=7047 X=939293339 Y=2363444717 Z=31745873363 M=5817
A=2685 B=7991 C=9486 X=924138895 Y=2738801011 Z=18729351646 M=9410
A=9776 B=8159 C=7579 X=968710690 Y=3482048396 Z=98137616657 M=8134
A=2112 B=9831 C=9387 X=189981304 Y=1288097238 Z=17515290254 M=9845
A=4339 B=6277 C=5080 X=772247473 Y=9567123886 Z=52476345814 M=2235
A=7310 B=9306 C=5025 X=145279976 Y=3127234017 Z=41539916640 M=2007
A=8476 B=6385 C=8644 X=517496991 Y=6928566993 Z=36574768619 M=3472
A=6172 B=3038 C=6294 X=240061562 Y=9060153721 Z=27655136933 M=2488
A=8455 B=7645 C=5675 X=905887523 Y=8544779724 Z=72083033504 M=2741
A=7726 B=4829 C=6799 X=200317244 Y=5225875204 Z=77119329691 M=6594
A=2567 B=8749 C=5378 X=676683589 Y=7650962202 Z=48072165284 M=7332
A=4117 B=6345 C=9192 X=664155883 Y=8965452573 Z=28870852586 M=9940
A=6148 B=8829 C=7497 X=344904188 Y=4840116669 Z=22261722711 M=1077
A=6344 B=5496 C=6350 X=610567753 Y=9592509645 Z=34969143610 M=2557
A=9566 B=3535 C=7194 X=440976981 Y=8263637726 Z=97149667486 M=3256
A=5425 B=6091 C=9452 X=862735140 Y=9590752960 Z=31809746921 M=3841
A=6801 B=4948 C=6905 X=209938619 Y=6899921689 Z=76232201407 M=2995
A=4768 B=8903 C=7827 X=878821777 Y=1406094751 Z=72121544809 M=9382
A=4626 B=9143 C=9289 X=589895169 Y=2724501243 Z=11393617063 M=7862
A=9349 B=9360 C=7435 X=168062021 Y=9236224420 Z=43332705194 M=9622
A=8796 B=4111 C=7463 X=859807932 Y=3561881276 Z=75440850779 M=7745
A=8853 B=7860 C=9463 X=303205270 Y=5194290158 Z=77434578662 M=5093
A=6573 B=9177 C=6052 X=307610164 Y=4785757645 Z=82571662965 M=7265
A=2378 B=3075 C=8067 X=757495489 Y=2607172067 Z=28194925542 M=3934
A=3015 B=9622 C=5994 X=656520733 Y=5274822137 Z=83916482815 M=8193
A=8185 B=9082 C=8724 X=982562261 Y=2780930355 Z=86006308968 M=1436
A=3442 B=8233 C=5571 X=182580498 Y=2447441934 Z=50334741396 M=3401
A=4717 B=3124 C=6683 X=911870597 Y=2219978033 Z=16885793556 M=8683
A=3745 B=7137 C=7081 X=141150976 Y=6870184971 Z=75911451268 M=1264
A=3719 B=3384 C=8962 X=246164782 Y=6233933599 Z=20421182972 M=7754
A=8220 B=6768 C=7080 X=239473829 Y=8180625518 Z=60332354046 M=5292
A=7983 B=6684 C=5820 X=871126742 Y=6500528214 Z=60287542497 M=5310
A=9883 B=5940 C=9251 X=591719127 Y=6939693047 Z=91716186937 M=4970
A=4966 B=6997 C=6533 X=537470576 Y=8719041004 Z=53043489563 M=8978
A=7332 B=9650 C=5495 X=477304277 Y=2849129376 Z=81076305936 M=2398
A=8601 B=5028 C=9231 X=178397708 Y=5579748625 Z=64620552027 M=6734
A=9038 B=9494 C=6565 X=176205561 Y=6327390378 Z=20041363135 M=1654
A=6760 B=5473 C=7396 X=305145598 Y=6783297229 Z=45005616149 M=3228
A=3764 B=3347 C=5657 X=976247037 Y=4859416362 Z=33711074985 M=6939
A=4387 B=8460 C=6587 X=714844361 Y=9379485195 Z=46563827194 M=1079
A=8771 B=6539 C=5665 X=387773210 Y=6741613155 Z=98349164206 M=3456
A=4515 B=5142 C=8146 X=879683977 Y=2455222860 Z=68618024655 M=5844
A=3464 B=3620 C=7382 X=595052159 Y=2285400053 Z=72803698049 M=3389
A=7452 B=4793 C=7003 X=774043270 Y=2783517770 Z=41913995982 M=2856
A=4248 B=4741 C=7770 X=609045993 Y=6416741561 Z=58237442510 M=7347
A=8800 B=8414 C=9293 X=510239737 Y=6246037000 Z=12619827914 M=6544
A=7888 B=5057 C=5752 X=231838228 Y=6786823113 Z=98418445254 M=6611
A=3540 B=5591 C=8831 X=498238375 Y=9727958930 Z=46201438591 M=1816
A=8260 B=4182 C=7367 X=220042989 Y=3853450897 Z=92979122544 M=6904
A=5710 B=7940 C=5032 X=125011864 Y=6678775458 Z=48225818001 M=6211
A=2222 B=5177 C=5216 X=189560766 Y=4897799395 Z=71464882524 M=4560
A=9919 B=4256 C=5828 X=564040239 Y=8363468065 Z=30754389775 M=4191
A=5974 B=6929 C=7126 X=153098979 Y=8924390637 Z=35691033223 M=8490
A=4647 B=8929 C=6581 X=875768294 Y=9355185033 Z=91130311319 M=7560
A=6567 B=7244 C=8207 X=170809649 Y=4493747994 Z=88491224003 M=8779
A=9259 B=5745 C=7076 X=900666162 Y=8876549235 Z=36218078274 M=9087
A=4372 B=3073 C=8328 X=126812409 Y=8646078167 Z=71393895910 M=4168
